Relatório de Composição de Garantias;;;
Data de Emissão: 21/05/2019 17:43;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2019;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;255.756.888.512,90;;100%
Estados;197.632.485.687,73;100%;77,27%
Rio de Janeiro;36.966.246.894,27;18,70%;14,45%
São Paulo;32.004.368.863,37;16,19%;12,51%
Minas Gerais;22.601.367.433,58;11,44%;8,84%
Bahia;13.424.709.091,69;6,79%;5,25%
Santa Catarina;10.194.524.410,85;5,16%;3,99%
Rio Grande do Sul;9.966.568.932,39;5,04%;3,90%
Pernambuco;9.272.819.192,70;4,69%;3,63%
Goiás;9.027.618.584,29;4,57%;3,53%
Ceará;8.520.396.955,39;4,31%;3,33%
Amazonas;5.330.442.791,92;2,70%;2,08%
Maranhão;4.909.209.051,33;2,48%;1,92%
Espírito Santo;4.843.088.727,67;2,45%;1,89%
Piauí;3.969.255.331,86;2,01%;1,55%
Mato Grosso;3.028.279.765,37;1,53%;1,18%
Paraná;2.882.789.732,68;1,46%;1,13%
Acre;2.486.795.390,10;1,26%;0,97%
Alagoas;2.451.224.113,94;1,24%;0,96%
Tocantins;2.370.416.240,29;1,20%;0,93%
Distrito Federal;2.166.904.265,98;1,10%;0,85%
Pará;2.108.076.809,89;1,07%;0,82%
Mato Grosso do Sul;2.030.733.816,20;1,03%;0,79%
Sergipe;1.574.821.271,06;0,80%;0,62%
Amapá;1.556.916.490,34;0,79%;0,61%
Rio Grande do Norte;1.432.745.473,46;0,72%;0,56%
Paraíba;1.411.471.388,55;0,71%;0,55%
Roraima;745.488.477,03;0,38%;0,29%
Rondônia;355.206.191,56;0,18%;0,14%
Bancos Federais;18.743.246.087,28;100%;7,33%
BNDES;12.266.210.472,61;65,44%;4,80%
CAIXA;5.766.370.005,92;30,77%;2,25%
Banco do Nordeste;560.124.793,22;2,99%;0,22%
Banco do Brasil;150.540.815,53;0,80%;0,06%
Municípios;17.453.188.389,87;100%;6,82%
Rio de Janeiro;6.994.213.939,43;40,07%;2,73%
Belo Horizonte;1.264.717.255,19;7,25%;0,49%
Fortaleza;1.070.315.915,53;6,13%;0,42%
Manaus;1.031.107.701,15;5,91%;0,40%
São Bernardo do Campo;1.019.905.146,28;5,84%;0,40%
São Paulo;544.742.890,67;3,12%;0,21%
Mauá;531.680.199,47;3,05%;0,21%
Porto Alegre;527.328.439,50;3,02%;0,21%
Curitiba;421.124.901,87;2,41%;0,16%
Recife;381.723.366,00;2,19%;0,15%
Niterói;229.650.184,90;1,32%;0,09%
Belém;221.035.455,74;1,27%;0,09%
Natal;206.278.208,23;1,18%;0,08%
São José dos Campos;194.217.466,98;1,11%;0,08%
Goiânia;180.153.030,82;1,03%;0,07%
Canoas;164.387.499,97;0,94%;0,06%
Blumenau;160.442.016,79;0,92%;0,06%
Florianópolis;158.400.118,61;0,91%;0,06%
Campo Grande;150.503.844,88;0,86%;0,06%
Teresina;149.794.859,17;0,86%;0,06%
Salvador;118.810.749,24;0,68%;0,05%
Joinville;116.388.475,65;0,67%;0,05%
Aparecida de Goiânia;109.317.687,57;0,63%;0,04%
Vitória;105.227.161,19;0,60%;0,04%
Taubaté;100.236.564,92;0,57%;0,04%
Cascavel;92.325.074,99;0,53%;0,04%
Ribeirão Preto;89.964.853,22;0,52%;0,04%
Aracaju;83.133.196,42;0,48%;0,03%
São Luís;81.317.113,52;0,47%;0,03%
Caxias do Sul;77.764.860,17;0,45%;0,03%
Santos;73.437.361,36;0,42%;0,03%
Hortolândia;66.703.178,85;0,38%;0,03%
Toledo;57.896.681,71;0,33%;0,02%
Novo Hamburgo;51.790.648,58;0,30%;0,02%
Paranaguá;49.162.275,36;0,28%;0,02%
Sete Lagoas;43.052.874,24;0,25%;0,02%
Corumbá;37.756.887,12;0,22%;0,01%
Chapecó;36.861.454,62;0,21%;0,01%
Colatina;36.182.168,13;0,21%;0,01%
Maringá;32.120.586,09;0,18%;0,01%
Pelotas;31.187.355,24;0,18%;0,01%
Passo Fundo;30.828.682,46;0,18%;0,01%
Belford Roxo;29.966.718,52;0,17%;0,01%
Alagoinhas;29.699.232,08;0,17%;0,01%
Santa Maria;27.775.469,67;0,16%;0,01%
Catanduva;27.467.869,03;0,16%;0,01%
Uberaba;26.268.450,44;0,15%;0,01%
Ponta Grossa;23.603.504,92;0,14%;0,01%
Cachoeirinha;23.031.028,83;0,13%;0,01%
Itajaí;20.704.126,95;0,12%;0,01%
Betim;20.490.494,76;0,12%;0,01%
Caucaia;16.604.702,75;0,10%;0,01%
Campinas;15.480.128,08;0,09%;0,01%
Bagé;15.430.022,50;0,09%;0,01%
Rio Branco;14.500.000,00;0,08%;0,01%
Rio Grande;14.226.326,54;0,08%;0,01%
Sobral;10.221.554,26;0,06%;0,00%
Sorocaba;6.941.999,96;0,04%;0,00%
Uruguaiana;6.404.720,40;0,04%;0,00%
Santo André;1.183.708,36;0,01%;0,00%
Morro Grande;0;0%;0%
Garça;0;0%;0%
Santa Vitória;0;0%;0%
Palmas;0;0%;0%
Maracanaú;0;0%;0%
Maceió;0;0%;0%
Serra;0;0%;0%
Massaranduba;0;0%;0%
Cotiporã;0;0%;0%
Caarapó;0;0%;0%
Morro da Fumaça;0;0%;0%
Sonora;0;0%;0%
Prudentópolis;0;0%;0%
João Pessoa;0;0%;0%
Jaquirana;0;0%;0%
Paraíso das Águas;0;0%;0%
Ponta Porã;0;0%;0%
Estatais Federais;14.326.152.101,60;100%;5,60%
FINEP;6.250.920.427,09;43,63%;2,44%
ELETROBRÁS;4.438.958.297,65;30,99%;1,74%
ELETRONUCLEAR;3.249.092.409,39;22,68%;1,27%
Furnas Centrais Elétricas;387.180.967,46;2,70%;0,15%
Entidades Estaduais Controladas;7.601.053.540,77;100%;2,97%
SABESP-SP;4.728.532.121,63;62,21%;1,85%
CEEE-D-RS;770.786.142,53;10,14%;0,30%
CEEE-GT-RS;537.089.260,82;7,07%;0,21%
CELESC-SC;315.934.223,08;4,16%;0,12%
CAESB-DF;303.830.120,84;4,00%;0,12%
COPASA-MG;245.551.088,18;3,23%;0,10%
CAGECE-CE;212.507.385,57;2,80%;0,08%
DAEE-SP;141.751.314,69;1,86%;0,06%
CASAN-SC;130.722.616,06;1,72%;0,05%
CESP-SP;127.679.488,84;1,68%;0,05%
SANEAGO-GO;86.441.623,33;1,14%;0,03%
CEMIG-MG;228.155,19;0,00%;0,00%
Empresas Privatizadas;762.705,66;100%;0,00%
CELPE-PE;762.705,66;100%;0,00%
