Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 10:58;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Mutuário(s) Específico(s);;;;;;;;;;;;;;
Nome: Rio de Janeiro;;;;;;;;;;;;;;
Classificação: Estados;;;;;;;;;;;;;;
Esfera de Governo: Estadual;;;;;;;;;;;;;;
Unidade Federativa: Rio de Janeiro;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;
Data Inicial: 01/01/2020;;;;;;;;;;;;;;
Data Final: 01/01/2100;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Cenário: Não Informado;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Indexador;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Garantia Total;7641991712;14,81%;3471193938;6,73%;3371974107;6,53%;3257497922;6,31%;3295830336;6,39%;30575357234;59,24%;51613845249;100%
IPCA;334138522,4;7,49%;328282551,6;7,36%;322864684,8;7,24%;316329174,7;7,09%;310930325,1;6,97%;2849527511;63,86%;4462072770;100%
SELIC;265747486,5;5,32%;259306812,8;5,19%;253710969,1;5,08%;247969201,7;4,96%;242892549,1;4,86%;3725740900;74,58%;4995367919;100%
TJLP;487639082,7;7,53%;452622460,7;6,99%;439043615,4;6,78%;425415877,3;6,57%;412811165,2;6,37%;4259702542;65,76%;6477234743;100%
TR;43923424,09;8,25%;43636242,45;8,20%;43346116,7;8,14%;43038096,75;8,08%;42711078,7;8,02%;315734203,2;59,31%;532389161,9;100%
Cambial;2458229302;7,91%;2387345871;7,68%;2313008721;7,44%;2224745572;7,15%;2286485218;7,35%;19424652078;62,47%;31094466761;100%
Não Indexados;4052313894;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4052313894;100%
Interna;6521257663;19,01%;2373413550;6,92%;2303458975;6,71%;2232624902;6,51%;2165729655;6,31%;18715102802;54,54%;34311587547;100%
220 - USD;1337495253;9,70%;1289565482;9,35%;1244493589;9,02%;1199872552;8,70%;1156384537;8,38%;7564397646;54,85%;13792209060;100%
IPCA;334138522,4;7,49%;328282551,6;7,36%;322864684,8;7,24%;316329174,7;7,09%;310930325,1;6,97%;2849527511;63,86%;4462072770;100%
SELIC;265747486,5;5,32%;259306812,8;5,19%;253710969,1;5,08%;247969201,7;4,96%;242892549,1;4,86%;3725740900;74,58%;4995367919;100%
TJLP;487639082,7;7,53%;452622460,7;6,99%;439043615,4;6,78%;425415877,3;6,57%;412811165,2;6,37%;4259702542;65,76%;6477234743;100%
TR;43923424,09;8,25%;43636242,45;8,20%;43346116,7;8,14%;43038096,75;8,08%;42711078,7;8,02%;315734203,2;59,31%;532389161,9;100%
Não Indexados;4052313894;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4052313894;100%
Externa;1120734049;6,48%;1097780388;6,34%;1068515132;6,18%;1024873020;5,92%;1130100680;6,53%;11860254432;68,55%;17302257701;100%
USD;1120734049;6,48%;1097780388;6,34%;1068515132;6,18%;1024873020;5,92%;1130100680;6,53%;11860254432;68,55%;17302257701;100%
